title,artist,link
Reclining Male Nude (1949),Zygmunt Bukowski,/record/21324?highlight=*:*
Of Christine Clay (1964),Connie Dearness,/record/53583?highlight=*:*
Unknown (1957),Peter Crorkin,/record/50508?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood,/record/99439?highlight=*:*
Unknown (1960),John Gilbert,/record/53491?highlight=*:*
Untitled (2007),Jo Ganter,/record/99974?highlight=*:*
Unknown (1968),Paul Youngs,/record/53591?highlight=*:*
Plate,Emma Gillies,/record/53718?highlight=*:*
Untitled (12 Jun 2014),Norman Orr,/record/22479?highlight=*:*
Portrait of Man in a Cap (1950),Thomas Murray,/record/21073?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Helen Wishart,/record/99452?highlight=*:*
Seated Male Nude (1965),J Lord,/record/21291?highlight=*:*
The Misadventure (1989),John Brown,/record/99468?highlight=*:*
Woman Seated (1954),John P Busby,/record/21380?highlight=*:*
Unknown,Alexander Cree,/record/50548?highlight=*:*
Unknown (1960),Robin E. Bownass,/record/50606?highlight=*:*
Abstract Composition in Yellow (Circa 1972),Charles K. S. Shaw,/record/22599?highlight=*:*
Madonna of the Roses (2007),Rachael Cawley,/record/99968?highlight=*:*
Standing Male Nudes (1950),Sheila Robertson,/record/20808?highlight=*:*
Untitled (Unknown),Gabor Peterdi,/record/21659?highlight=*:*
Seated Male Nude with Foot Resting on Stool (1961),Plehakraborty,/record/21296?highlight=*:*
Untitled (Unknown),Unknown,/record/21557?highlight=*:*
Pekin knot sample,Unknown,/record/102730?highlight=*:*
Portrait of a Woman (1955),Edith Duke,/record/21218?highlight=*:*
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland",Unknown,/record/20567?highlight=*:*
Tomb,Susan Robson,/record/22534?highlight=*:*
Untitled (Unknown),Unknown,/record/21881?highlight=*:*
Seated Male Nude (1958),Elizabeth Meldrum,/record/21158?highlight=*:*
Standing Male Nude (1952),Adam Robson,/record/20809?highlight=*:*
Seated Male Nude (1959),Violet Thompson,/record/21146?highlight=*:*
Summer Fayre,Unknown,/record/22658?highlight=*:*
Portrait of a Woman (1953),Mary Edward,/record/21197?highlight=*:*
Untitled (1971),Jan Haycoe,/record/21836?highlight=*:*
Agriculture,Unknown,/record/20534?highlight=*:*
Face Value (2007),Annette Kierulf,/record/99902?highlight=*:*
Unknown,Alan M. Alexander,/record/50598?highlight=*:*
Woman in a Blue Background,Ian Paterson,/record/22696?highlight=*:*
Untitled - Sprite in Long Gown (1963),Iona Murray,/record/99402?highlight=*:*
Unknown (1952),Rosemary Bagshaw,/record/53520?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,/record/20666?highlight=*:*
Portrait of a Man (1959),Kenneth Dingwall,/record/21331?highlight=*:*
Standing Male Nude (1939),Heather Measham,/record/21137?highlight=*:*
Small Landscape (1946),Dorothy M. Peach,/record/21069?highlight=*:*
Unknown (Unknown),Unknown,/record/21867?highlight=*:*
1st State (Unknown),Euan Gray,/record/21951?highlight=*:*
Landscape (1961),Robin Forrester,/record/21294?highlight=*:*
Unknown (1953-1954),Peter G. Collins,/record/50540?highlight=*:*
Unknown (1960),Alan M. Alexander,/record/50596?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,/record/21064?highlight=*:*
Untitled (Sucker Darts) (2016),James Howden,/record/113746?highlight=*:*
The Boundary of Balance (2019),Dong Ding,/record/113743?highlight=*:*
Still Life with Goblets (1959),Alan M. Alexander,/record/22743?highlight=*:*
Blackwork' sampler. Miss Waddel,Miss Waddell,/record/102670?highlight=*:*
Unknown (1965),William S. T. Brodie,/record/53597?highlight=*:*
Unknown (1950),Francis Curran,/record/50505?highlight=*:*
Two Seated Women and One Standing Woman (1949),Douglas Gordon,/record/21099?highlight=*:*
Untitled (12 Jun 2014),John Nelson,/record/22481?highlight=*:*
Unknown (1964),Cameron,/record/53586?highlight=*:*
Seated Female Nude (1954),Elizabeth Blackadder,/record/21409?highlight=*:*
Unknown (Circa 1890),Unknown,/record/50463?highlight=*:*
Unknown (1965),Laura McPherson,/record/50499?highlight=*:*
Unknown,Iain Holden,/record/53534?highlight=*:*
Benin Head (1964-1964),Vincent Butler,/record/99224?highlight=*:*
,Zygmunt Bukowski,/record/112513?highlight=*:*
Unknown (1949),John Thomson,/record/50483?highlight=*:*
Replica cast (brown) of Parthenon slab GE33,Unknown,/record/20657?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions,Unknown,/record/20619?highlight=*:*
Untitled,NA,/record/21840?highlight=*:*
Untitled,NA,/record/112505?highlight=*:*
Unknown,Alexander S Campbell,/record/50632?highlight=*:*
Saucer,Emma Gillies,/record/53658?highlight=*:*
Virgin and Child (statuette head of child missing),Unknown,/record/20559?highlight=*:*
Embroidered panel,Winsome Douglass,/record/113834?highlight=*:*
"Unknown, Abstract",Paresh Chandra Chakraborty,/record/99485?highlight=*:*
